spu_id,spu_name,user_id,brand_name,shop_id,shop_name,c1_id,c1_name,c2_id,c2_name,c3_id,c3_name,gmv,unit_sold,brand_clean
3480100738686968172,百钻葡萄糖内脂内酯 家用做豆腐脑豆腐【教程见详情】每盒3g*24包,1323434320078763.0,百钻 (Baker Dream),,苏瑞家庭烘焙,33.0,食品酒水,3361.0,冲调,336101.0,冲饮谷物,25.636477987421436,1,
3481821165096430762,SK-II 淨肌護膚潔面乳 120g,60739805715.0,SK-II,6685932.0,克锐恩海外旗舰店,31.0,个护化妆,3101.0,面部护肤,310101.0,洁面,17940.0,60,
3456936205751572535,五粮液股份出品 五粮情 52度500ml*2瓶/6瓶 ,67579558320.0,五粮液 (WULIANGYE),7023569.0,玖到家酒类专营店,33.0,食品酒水,3305.0,酒,330501.0,白酒,568.0223463687156,2,
3457607693806744307,2Y15【店播专享】唐狮电商【猫和老鼠联名】灯芯绒羽绒服,1398217474055901.0,唐狮 (tonlion),,唐狮男装旗舰店,11.0,服装,1101.0,男装,110105.0,男士羽绒服,2720.0,8,
3478034309619796150,苏泊尔电水壶1.7L大容量家用不锈钢烧水壶自动断电大容量开水壶 ,75918197101.0,苏泊尔 (SUPOR),,苏泊尔芙和专卖店,21.0,家用电器,2103.0,厨房电器,210312.0,电水壶,169.0,1,
3457089974288134865,贵人鸟童鞋 GRN-836EM 经典秋冬二棉大棉鞋 26-38码(华子),71951235002.0,贵人鸟,3301566.0,贵人鸟母婴旗舰店,13.0,运动健康,1301.0,运动鞋包,130102.0,跑步鞋,124771.5,1785,贵人鸟
3469332907288575157,【衣哥专属】FIRS杉杉 XNK8109017男士牛仔裤,,杉杉 (Firs),,,11.0,服装,1101.0,男装,110107.0,男士牛仔裤,119.0,1,
3452108653644088517,小布推荐/路易威登/手提包/99成新/公价14000/[201209ADC],,路易威登 (Louis Vuitton),,,,,,,,,4161.0,1,
3469151739343700776,承轩LV海盗包/9新/WCSM210311113,,路易威登 (Louis Vuitton),,,12.0,箱包饰品,1203.0,箱包,120399.0,其他-箱包,6500.0,1,路易威登 (Louis Vuitton)
3435199624653201859,戴维贝拉女童马甲2020秋冬季新款童装女宝宝中国风马夹DBJ15558,106518865294.0,戴维贝拉 (DAVE＆BELLA),1209537.0,戴维贝拉童装旗舰店,32.0,母婴,3209.0,童装童鞋,320901.0,童装,477.0,3,
3430830214870136781,【雅祺】后拱辰享精华隔离套盒,1292626876706925.0,后 (The history of whoo),,雅祺国际美妆,,,,,,,401.645,2,
3490824496716336025,【自播】PMPM蓝版海茴香水乳洁面泥膜套装,1442198681567847.0,PMPM,,PMPM旗舰店,31.0,个护化妆,3101.0,面部护肤,310105.0,护肤套装,485.82,2,
3472827726656865332,【朴西正品】亲子字母logo拖鞋,1600520601226936.0,朴西,,朴西庄庭专卖店,34.0,家居家装,3407.0,生活日用,340799.0,其它,80.88571428571439,3,
3448558390744366324,自然堂｜雪域水乳90mL护肤品套装6件（冰肌水+乳液+爽肤水,89887967728.0,自然堂 (CHANDO),5565464.0,,,,,,,,1626.4615384615386,11,
3475471384421999468,【BQ】五粮液国鼎52度白酒500ML*4瓶一箱,184349441669799.0,五粮液 (WULIANGYE),,酩达专营店,33.0,食品酒水,3305.0,酒,330501.0,白酒,253.5,2,五粮液 (WULIANGYE)
3466377868848826763,FILA女新款潮流时尚连衣裙F11W128391F,4195341926664359.0,斐乐 (FILA),,FILA服饰思明南专卖店,11.0,服装,1102.0,女装,110206.0,女士连衣裙,1071.0,2,斐乐 (FILA)
3485666507499921329,胖虎路易威登Turenne系列/9新/公价12800,,路易威登 (Louis Vuitton),,,,,,,,,7599.0,1,
3470600667943535299,H骆驼男女运动速干休闲长裤J0W242110 J0W142113,97252585387.0,骆驼(CAMEL),,骆驼男鞋旗舰店,13.0,运动健康,1302.0,运动服,130203.0,运动裤,99.0,1,
3489924931007939997,李宁亲子款单肩背包132,3949095477838813.0,李宁 (LI-NING),,李宁冠宁专卖店,32.0,母婴,3209.0,童装童鞋,320906.0,书包,89.0,1,
3428522271000640103,巴拉巴拉2019年秋季新款女幼童保暖舒适收腰便服外套21053190204 ,,巴拉巴拉 (BALABALA),,,,,,,,,59.01,1,
3455810164161169010,卡雁CARD GEESE开衫MYJ-T259-200118,85983653769.0,卡雁(CARD GEESE),,卡雁服装,11.0,服装,1102.0,女装,110212.0,女士针织衫,558.0,2,
3480236912848033019,木架收纳筐,1785255885013576.0,南象,,南象家居旗舰店,34.0,家居家装,3407.0,生活日用,340701.0,收纳用品,54.725,3,
3470255107801806498,立体闪亮复古时尚戒指,4375710794001976.0,VEE,13273305.0,VEE服饰旗舰店,24.0,珠宝礼品,2401.0,珠宝首饰,240109.0,时尚饰品,69.0,1,
3466931996947778248,【特步推荐】特步男跑鞋881319119066,2875949821201198.0,特步 (XTEP),,特步旗舰店,13.0,运动健康,1301.0,运动鞋包,130102.0,跑步鞋,254.214285714286,2,
3475673473404301592,创意厨房用具硅胶锅盖抬高小雏菊花锅盖抬高防溢器,102023118152.0,金铂喜,12216202.0,金铂喜家居旗舰店,34.0,家居家装,3403.0,厨具,340306.0,厨房配件,22.32971887550198,1,
3426139274851024299,希芸清透肌洁面乳100ml 洗面奶控油清爽细致毛孔清洁皮肤温和,95849937511.0,希芸 (SYRINX),763965.0,希芸旗舰店,31.0,个护化妆,3101.0,面部护肤,310101.0,洁面,72.5,1,
3481384946868857270,B店精选B/路易威登/95新/市场价10000/[210516DBC],108211136253.0,路易威登 (Louis Vuitton),2124641.0,LYP旗舰店,,,,,,,6699.0,1,
3493426110904028347,家乐氏进口麦片谷脆格300g即食冲饮营养谷物健康早餐饱腹减脂食品,593370594414100.0,家乐氏 (KELLOGG’S),,凯怡食品专营店,33.0,食品酒水,3361.0,冲调,336199.0,其他-冲调,62.04651162790697,2,
3411116806352580924,T巴拉巴拉男幼童七分裤21132191406,,巴拉巴拉 (BALABALA),,,,,,,,,95.01,1,
3487881091346465259,辰辰妈-冰爽丝休闲百搭T恤 男女可穿B2253,4152199896905735.0,辰辰妈,,辰辰妈童装,11.0,服装,1101.0,男装,110108.0,男士T恤衫,992.0,31,
3478417916788092579,【森马官方】A12女款圆领短袖T恤12-030000203,3642018614481628.0,森马 (Semir),,SEMIR森马专卖店,11.0,服装,1102.0,女装,110210.0,女士T恤衫,80.2,2,森马 (Semir)
3467813717410990813,【媛媛专享】MissCOCOON春装新款飘逸松紧腰网纱蛋糕裙9110509202,285513690135070.0,MISSCOCOON,,MISSCOCOON服饰旗舰店,11.0,服装,1102.0,女装,110206.0,女士连衣裙,1688.18181818182,3,
3454692839156502410,天气丹 面霜小样10片装,676905398577390.0,后 (The history of whoo),,摩崖美妆店,31.0,个护化妆,3101.0,面部护肤,310105.0,护肤套装,473.2,14,
3451466929871703242,苹果7代,67236593508.0,苹果 (APPLE),,鑫鑫手机的小店,23.0,电脑办公,2301.0,电脑整机,230104.0,平板电脑,1047.07003334921,1,
3489765115115500038,卡姿兰高分造型眉妆盘 送睫毛膏中样,3095873034931422.0,卡姿兰 (CARSLAN),,润之美严选,31.0,个护化妆,3102.0,彩妆,310204.0,睫毛膏增长液,89.0,1,
3492306653599155042,乐乐趣揭秘翻翻书系列第四辑 揭秘音乐+揭秘美术,96259208199.0,乐乐趣 (LELEQU),,乐乐趣童书旗舰店,51.0,图书音像,5101.0,图书,510109.0,科技,678.5,12,
3487415224850618422,施华寇发泥造型osis型蓬松头哑光黑人头男士发蜡女士刘海定型,99236888704.0,施华蔻 (Schwarzkopf),,毛菇小象时尚精品店,31.0,个护化妆,3104.0,洗发护发,310404.0,造型,48.63978779840849,1,
3480284170297685646,【周六福】A17991-貔貅足金吊坠（赠送手绳）,55255019060.0,周六福 (ZLF),,周六福旗舰店,24.0,珠宝礼品,2401.0,珠宝首饰,240102.0,黄金,9980.0,10,
3478065192640857421,潮流百搭短裤夏YG2ALV805,98459212884.0,七匹狼 (SEPTWOLVES),,老李专用店铺,11.0,服装,1101.0,男装,110123.0,男士短裤,65.23636363636363,2,七匹狼 (SEPTWOLVES)
3468047522403118606,爆爆奢闲置/蔻驰/95新/YUTI,,蔻驰 (COACH),,,12.0,箱包饰品,1203.0,箱包,120302.0,拉杆箱包,950.0,1,蔻驰 (COACH)
3441124321676911505,【 萌萌专享】达芙妮时尚老爹鞋202003519,25977173327408.0,达芙妮 (DAPHNE),,达芙妮有容专卖店,,,,,,,39346.5975,135,
3502712841813761534,南极人5双 除臭鞋垫女男透气吸汗防臭留香软底舒适超软皮鞋鞋垫子,141194491607180.0,南极人 (NANJIREN),,简白优选,,,,,,,17.035566823614634,2,
3493611202687407907,【国民臻品】HLA海澜之家2021秋季新品舒适长袖衬衫HNCAJ3D802A,3518898665170174.0,海澜之家 (HLA),,海澜之家男士旗舰店,11.0,服装,1101.0,男装,110104.0,男士衬衫,99.0,1,
3461747434684862617,妃鱼/巴宝莉/手提包/98成新/[210130DNBC],1015546189190971.0,巴宝莉 (BURBERRY),4944484.0,卅辰二手奢侈品,12.0,箱包饰品,1203.0,箱包,120302.0,拉杆箱包,2305.0,1,巴宝莉 (BURBERRY)
3440587319860718955,笛莎宽松加绒长裤儿童运动裤,103682843106.0,笛莎 (DEESHA),8917028.0,笛莎女童装旗舰店,32.0,母婴,3209.0,童装童鞋,320901.0,童装,348.0,5,
3479718518826621797,胖虎巴宝莉/98新/公价7800,3817150154551003.0,巴宝莉 (BURBERRY),,出处闲置奢侈品旗舰店,12.0,箱包饰品,1204.0,饰品,120499.0,其他-饰品,9596.0,4,巴宝莉 (BURBERRY)
3493259135485649500,日本惠百施牙刷,59206280649.0,惠百施 (EBISU),,登登日本生活馆,31.0,个护化妆,3106.0,口腔护理,310604.0,牙刷,61.96035634743875,2,
3486019066341283201,左西男童背心棉夏装2021新款韩版潮洋气中大童 XY192191,2475740816749619.0,左西,1475307.0,左西服装旗舰店,32.0,母婴,3209.0,童装童鞋,320901.0,童装,611.0,24,
3483620206688002794,妈妈很忙山楂优块 休闲健康 128g,106231361033.0,妈妈很忙,,妈妈很忙手工美食,33.0,食品酒水,3301.0,休闲食品,330103.0,休闲零食,168.80312499999997,49,
3458940899025882723,【中闽飘香】茉莉绿茶年货135g/3罐礼盒装2021日照茉莉花茶新茶叶,60646046669.0,中闽飘香 (Zmpx),10163617.0,中闽商城,34.0,家居家装,3403.0,厨具,340305.0,茶具咖啡具,408.0,6,
3470252279389630057,【靠哥同款】HLA海澜之家条纹款POLO衫男邦邦两拳上衣HNTPD2D601A,82828527210.0,海澜之家 (HLA),695628.0,海澜之家服饰旗舰店,11.0,服装,1101.0,男装,110108.0,男士T恤衫,21423.081875,137,
3475604131148897486,李宁女鞋2021新款001启程CNY日进斗金新年限定白休闲鞋AGCR028,1103541936858568.0,李宁 (LI-NING),5630152.0,中国李宁旗舰店,13.0,运动健康,1301.0,运动鞋包,130106.0,休闲鞋,996.6666666666666,3,
3476571767970135745,【王源同款】苏泊尔火红点Bingo炒锅煎锅多用汤锅家用不粘锅,96978606460.0,苏泊尔 (SUPOR),,苏泊尔厨美居专卖店,34.0,家居家装,3403.0,厨具,340301.0,烹饪锅具,865.5655960805661,1,
3486051319314286886,610抖C（2号）/路易威登/98新/6752352,,路易威登 (Louis Vuitton),,,,,,,,,16000.0,1,
3474786586120605013,【厂长推荐】艾尚肌烟酰胺光感透亮安瓶套盒,58657430031.0,艾尚肌,,金艺择优店铺,31.0,个护化妆,3101.0,面部护肤,310113.0,面部精华,319.2,8,
3477321581146048052,S-HUAWEI/华为Sound智能音箱,53209038068382.0,华为 (HUAWEI),,天灿通信数码专营店,22.0,手机数码,2205.0,时尚影音,220504.0,音箱音响,1554.0,1,
3479979313527400700,简澳本 美女印花短袖T恤（120-200斤）,72082568813.0,简澳本 (JIANAOBEN),,简澳本服饰旗舰店,11.0,服装,1101.0,男装,110108.0,男士T恤衫,193.0909090909091,3,
3437480035391534753,【CC兔专享】 789#  中国黄金 碧yu平安扣银镶yu项链,104164441756.0,中国黄金 (China Gold),,中国黄金高盛专卖店,,,,,,,222748.6,860,
3482278117454782246,七度空间极薄日用卫生巾5片*3包,817683572200616.0,七度空间 (SPACE7),,恒阜居家日用专营店,31.0,个护化妆,3107.0,女士护理,310701.0,卫生巾,304.9200000000001,31,
3484125791011386536,健身福利-A   瑜伽服健身长袖短袖,3079068846129671.0,佑游,,佑游旗舰店,13.0,运动健康,1302.0,运动服,130217.0,套装,49.75,3,
3452455601236507668,乔丝蔻天气丹紧致 美容按摩霜3瓶【鹏帅乔】（双十二活动）,,后 (The history of whoo),,,31.0,个护化妆,3101.0,面部护肤,310105.0,护肤套装,650.35,9,
3448720407639759562,巴拉巴拉童装2020春款男童外套儿童加绒炫酷冲锋衣22051201224,96691607649.0,巴拉巴拉 (BALABALA),,经开万达巴拉巴拉童装店,32.0,母婴,3209.0,童装童鞋,320901.0,童装,149.0,1,巴拉巴拉 (BALABALA)
3460625438936812877,巴宝莉法棍包/98新/公价8000/BG1164,2422956415531453.0,巴宝莉 (BURBERRY),,BOGU博古旗舰店,31.0,个护化妆,3103.0,香水,310399.0,其他-香水,3100.0,1,巴宝莉 (BURBERRY)
3479729945587149379,淘只女表/98新浪琴军旗女表L4.274.3.32.7公价12100表径26,110511459140.0,浪琴 (Longines),,福州市鼓楼区快抖钟表店的小店,13.0,运动健康,1306.0,体育用品,130611.0,棋牌麻将,4600.0,1,
3485496542541044602,Daphne/达芙妮高跟鞋时装凉鞋女鞋8厘米  2021DFN8900-1,2516108751173886.0,达芙妮 (DAPHNE),,达芙妮众行专卖店,11.0,服装,1104.0,女鞋,110461.0,女鞋,171.6,1,
