来源平台,店铺,商品标题,价格,评论人,评价星级,评价内容,评论时间,商品属性,商品ID,点赞/有用数,追评内容,追评时间,好评度,评价关键词,评论类型
京东,雅鹿官方旗舰店,雅鹿四件套纯棉100%全棉床上用品床单被套被罩,283,7***p,1星,羽绒裤穿了不到一个月大腿内侧的料子就磨得发亮了，再穿一段时间感觉就要磨穿了。,2026/2/26,颜色:酒红;尺码:M,831753901751,57.0,,,差评,"性价比高,做工精细,面料好",默认评价
京东,雅鹿官方旗舰店,雅鹿保暖内衣男士女士加绒德绒无痕发热打底秋衣秋裤套装,124,9***g,5星,床单被罩的花色跟图片完全一致没有偏色，铺在床上整个卧室的氛围都提升了做工方面也没有毛刺。,2026/3/26,颜色:卡其;尺码:L,630086955342,18.0,,,好评,"保暖好,性价比高,面料好",有图评价
京东,巴拉巴拉品牌官方旗舰店,巴拉巴拉男童短袖T恤2026夏季新款纯棉透气百搭上衣,61,刘**云,3星,整体还行吧和描述的基本上一致，不过面料没有想象中那么厚实，春秋穿还行冬天估计得里面加衣服才行。,2026/5/24,颜色:黄色;尺码:100cm,896294703511,,,,中评,"孩子喜欢,纯棉柔软,穿着舒适",追加评论
京东,安踏旗舰店,安踏运动长裤男夏季薄款透气速干束脚卫裤,185,z***u,2星,扣子洗了一次就掉了一个线头到处都是，口袋的地方缝得歪歪扭扭的品控水平像是小作坊出来的。,2025/7/30,颜色:白色;尺码:L,399200649154,,,,差评,"做工好,百搭好穿,显气质",默认评价
京东,安踏旗舰店,安踏运动短袖T恤男夏速干透气圆领宽松健身跑步上衣,140,6***y,5星,在店里看过同款的要贵一百多块钱，网上下单隔天就到了，衣服质量和专柜的一样好，棉料非常亲肤柔软。,2025/8/13,颜色:白色;尺码:L,537784575264,,,,好评,"纯棉透气,百搭好穿,显气质",默认评价
京东,雅鹿官方旗舰店,雅鹿羽绒裤男外穿冬季加厚保暖高腰宽松休闲裤,356,0**9,5星,羽绒马甲穿在冲锋衣里面完全看不出来轻薄但是保暖效果真的好，零度左右的天气多穿一件就够了。,2026/3/24,颜色:卡其;尺码:L,891734166042,49.0,,,好评,"面料好,保暖好,不掉色",有图评价
京东,安踏旗舰店,安踏运动短袖T恤男夏速干透气圆领宽松健身跑步上衣,116,l***m,5星,款式很时尚跟广告图里一模一样，朋友看了都问我在哪买的。,2026/4/2,颜色:灰色;尺码:M,415999727246,37.0,,,好评,"百搭好穿,纯棉透气,做工好",默认评价
京东,海澜之家旗舰店,海澜之家休闲长裤男2026夏季薄款免烫直筒修身西裤,305,4**7,5星,面料结实耐磨，穿了一个多季节还跟新的一样，这一点比很多牌子都强。,2025/10/7,颜色:白色;尺码:L,735751001888,0.0,,,好评,"显气质,百搭好穿,纯棉透气",追加评论
京东,FILA旗舰店,FILA斐乐运动背包男女大容量双肩包高中学生旅行书包,565,i***l,4星,这款包的设计非常百搭能装又能凹造型，无论是搭配休闲装还是偏正式的着装都不会显得突兀。,2026/3/17,颜色:经典棕,876946731628,54.0,,,好评,"容量大,正品,五金精致",追加评论
京东,COACH蔻驰官方旗舰店,COACH蔻驰手表女经典小绿表石英机芯防水时尚女士腕表,1209,5***m,5星,走时很准戴了一个星期误差大概也就十几秒，表带的皮质也很软戴着贴合手腕不勒。,2026/5/5,颜色:白表盘+黑色表带,775216587388,,,,好评,"款式好看,正品,做工精致",有图评价
京东,adidas官方旗舰店,adidas阿迪达斯NMD_R1经典男女情侣款休闲运动鞋,810,4**4,4星,这已经是我第三次回购这个系列了穿坏了就买新的，说明我是真的认可这个脚感和质量。,2026/1/18,颜色:深黑;尺码:41,202749863342,29.0,,,好评,"尺码标准,防滑耐磨,百搭",有图评价
京东,雅鹿官方旗舰店,雅鹿羽绒马甲男女同款轻薄保暖内胆背心秋冬,148,徐**飞,1星,被套的拉链用了不到两周就坏掉了拉的时候卡在一半的位置怎么都拉不动，只能找附近的裁缝换了一条拉链。,2025/9/11,颜色:酒红;尺码:M,585540926580,8.0,,,差评,"性价比高,保暖好,不掉色",默认评价
京东,海澜之家旗舰店,海澜之家皮带头层牛皮男士自动扣休闲百搭腰带,173,吴**杰,4星,扣头的光泽度比图片上稍微差一点但不至于难看，皮子质量还行厚度也够。,2026/5/2,颜色:深棕;长度:120cm,542448353529,,,,中评,"百搭,正品,皮质厚实",默认评价
京东,雅鹿官方旗舰店,雅鹿保暖内衣男士女士加绒德绒无痕发热打底秋衣秋裤套装,122,6**8,5星,被子面料亲肤不扎人不用套被套直接盖都可以，而且很蓬松盖在身上感觉像是被云朵包住了。,2026/5/6,颜色:藏青;尺码:XL,845948684077,28.0,,,好评,"保暖好,面料好,不掉色",追加评论
京东,海澜之家旗舰店,海澜之家夹克男春秋新款立领商务休闲薄款外套,321,张**铭,5星,款式很时尚跟广告图里一模一样，朋友看了都问我在哪买的。,2025/7/19,颜色:黑色;尺码:XL,555439111800,52.0,,,好评,"百搭好穿,显气质,面料舒适",有图评价
京东,李宁旗舰店,李宁运动短袖男夏速干T恤透气吸汗健身跑步训练上衣,179,k***e,3星,做工整体还行但有几根线头没有修干净自己拿剪刀弄了一下，这个价位品控再仔细一点就更好了。,2025/12/26,颜色:藏蓝;尺码:XXL,556683968573,25.0,,,中评,"纯棉透气,面料舒适,百搭好穿",默认评价
京东,COACH蔻驰官方旗舰店,COACH蔻驰男士双肩包商务旅行背包大容量轻便电脑包,2543,孙**宇,3星,做工还算可以五金件的光泽度比预期稍差了一些，但整体能用就留下了。,2026/3/2,颜色:米白色,189421711162,13.0,,,中评,"容量大,皮质好,五金精致",有图评价
京东,中国黄金旗舰店,中国黄金足金黄金耳钉女款小巧精致花朵造型金耳饰,651,匿名买家,4星,已经是第三次回购了第一次买的是项链后来陆续又买了戒指和手链，每次质量都非常稳定没有翻过车。,2025/8/25,重量:约8g;材质:足金999,777998082878,,,,好评,"足金999,款式大方,有证书",默认评价
京东,COACH蔻驰官方旗舰店,COACH蔻驰经典标志帆布TABBY 26号单肩包女轻奢手提斜挎包,4402,4***s,4星,整体还可以但没有想象中那么惊艳，皮质比专柜的硬了一些估计用一段时间会慢慢变软吧。,2025/7/15,颜色:酒红色,812436573103,,,,中评,"五金精致,容量大,正品",追加评论
